time.seconds,meta.browser,meta.OS,meta.resolution,sample,subject,condition,condition.sample,time.instructions1,time.instructions2,time.instructions3,warmup.time,threatens.time,shoves.time,slaps.time,pepper.time,hose.time,hurts.time,baton.time,taser.time,knocks.time,beatup.time,gas.time,rubber.time,finger.time,chokes.time,prod.time,burns.time,legs.time,stabs.time,shoots.time,torture.time,blinds.time,paralyze.time,kills.time,torkill.time,warmup.answer,threatens.answer,shoves.answer,slaps.answer,pepper.answer,hose.answer,hurts.answer,baton.answer,taser.answer,knocks.answer,beatup.answer,gas.answer,rubber.answer,finger.answer,chokes.answer,prod.answer,burns.answer,legs.answer,stabs.answer,shoots.answer,torture.answer,blinds.answer,paralyze.answer,kills.answer,torkill.answer,warmup.positive,threatens.positive,shoves.positive,slaps.positive,pepper.positive,hose.positive,hurts.positive,baton.positive,taser.positive,knocks.positive,beatup.positive,gas.positive,rubber.positive,finger.positive,chokes.positive,prod.positive,burns.positive,legs.positive,stabs.positive,shoots.positive,torture.positive,blinds.positive,paralyze.positive,kills.positive,torkill.positive,warmup.negative,threatens.negative,shoves.negative,slaps.negative,pepper.negative,hose.negative,hurts.negative,baton.negative,taser.negative,knocks.negative,beatup.negative,gas.negative,rubber.negative,finger.negative,chokes.negative,prod.negative,burns.negative,legs.negative,stabs.negative,shoots.negative,torture.negative,blinds.negative,paralyze.negative,kills.negative,torkill.negative,warmup.confidence,threatens.confidence,shoves.confidence,slaps.confidence,pepper.confidence,hose.confidence,hurts.confidence,baton.condifence,taser.confidence,knocks.confidence,beatup.confidence,gas.confidence,rubber.confidence,finger.confidence,chokes.confidence,prod.confidence,burns.confidence,legs.confidence,stabs.confidence,shoots.confidence,torture.confidence,blinds.confidence,paralyze.confidence,kills.confidence,torkill.confidence,order.threat,order.shove,order.hose,order.taser,order.pepper,order.tear,order.slap,order.hurt,order.baton,order.rubber,order.beats,order.knocks,order.choke,order.prod,order.stab,order.finger,order.shoots,order.burns,order.legs,order.blinds,order.paralyze,order.torture,order.kill,order.torturekill,md.MoralJustification,md.EuphemisticLabel,md.AdvComparison,md.DisplaceResp,md.DiffusionRes,md.DistortConseq,md.AttributeBlame,md.Dehumanization,md.Index,demo.age,demo.age.thirds,demo.gender,demo.gender.code,demo.race,demo.race.code,demo.race.binary,comments,attn.check.1,attn.check.2,attn.check.sum,md.moraljustification.split,md.dispresp.split,md.distortconseq.split,md.dehumanization.split,md.euphamistic.split,md.advcompare.split,md.diffusionresp.split,md.attribute.blame.split,md.index.split,filter_$,warmup.time.clean,threatens.time.clean,shoves.time.clean,slaps.time.clean,pepper.time.clean,hose.time.clean,hurts.time.clean,baton.time.clean,taser.time.clean,knocks.time.clean,beatup.time.clean,gas.time.clean,rubber.time.clean,finger.time.clean,chokes.time.clean,prod.time.clean,burns.time.clean,legs.time.clean,stabs.time.clean,shoots.time.clean,torture.time.clean,blinds.time.clean,paralyze.time.clean,kills.time.clean,torkill.time.clean,time.global.avg,time.clean.global.avg,harm1,harm2,harm3,harm4,harm5,harm6,fair1,fair2,fair3,fair4,fair5,fair6,loyal1,loyal2,loyal3,loyal4,loyal5,loyal6,authority1,authority2,authority3,authority4,authority5,authority6,purity1,purity2,purity3,purity4,purity5,purity6,MFQ.Harm,MFQ.Fair,MFQ.Loyal,MFQ.Authority,MFQ.Purity,MFQ.Harm.Split,MFQ.Fair.Split,MFQ.Loyal.Split,MFQ.Authority.Split,MFQ.Purity.Split,Harm_Salience,Fairness_Salience,Loyalty_Salience,Authority_Salience,Purity_Salience
2899,Chrome,Windows NT 10.0,1280x720,1,189,2,2,288.31,6.29,10.33,11.26,1.62,1.96,18.8,1.84,2.49,1.58,1.57,2.93,2.12,3.18,2.25,2.2,3.29,3.07,10.89,1.44,1.61,1.34,1.54,3,1.9,1.57,1.47,1.88,1,1,1,1,1,1,3,1,1,3,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,5,2,1,4,5,3,1,3,3,3,1,3,3,1,1,2,5,1,1,1,2,1,3,1,1,1,5,4,3,1,3,5,3,2,3,5,3,3,4,5,4,1,5,5,5,3,4,4,4,5,4,5,4,4,5,5,5,4,3,5,4,5,4,4,4,5,5,5,5,5,1,2,1,4,2,3,2,1,3,1,4,3,6,2,6,5,3,5,4,4,5,5,6,6,1,1,1,1,1,1,1.25,1.5,1.09375,32,3,female,2,White,12,2,I accidentally clicked on the last attention check.  I tried to undo it but it wouldn't let me.  I'm very sorry about that., ,1,.5,1,1,1,2,1,1,1,1,1,1,11.26,1.62,1.96,18.8,1.84,2.49,1.58,1.57,2.93,2.12,3.18,2.25,2.2,3.29,3.07,10.89,1.44,1.61,1.34,1.54,3,1.9,1.57,1.47,1.88,3.1475,3.1475,6,6,6,6,6,6,6,6,6,6,4,1,6,6,6,6,4,5,6,6,6,6,1,6,6,6,6,6,6,6,6,4.83333333333333,5.5,5.16666666666667,6,3,2,3,3,3,High,Moderate,High,High,High
1934,Chrome,Windows NT 10.0,1536x864,1,282,1,1,308.17,96.47,27.25,16.59,3.03,13.14,2.19,5.51,1.78,6.63,3.36,2.87,3.67,15.75,1.83,1.32,119.12,14.74,3.41,6.05,8.25,8.3,1.82,2.25,2.66,8.24,1.82,4.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,3,3,3,3,1,3,1,1,1,3,3,1,3,1,1,1,5,1,1,1,1,3,3,4,3,3,3,3,3,5,3,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,3,3,7,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,1,3,2,3,2,3,5,3,2,4,4,4,5,5,2,6,6,6,6,5,1,1,1,1,1,1,1.5,1,1.0625,29,2,male,1,black,2,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,16.59,3.03,13.14,2.19,5.51,1.78,6.63,3.36,2.87,3.67,15.75,1.83,1.32,33.48,14.74,3.41,6.05,8.25,8.3,1.82,2.25,2.66,8.24,1.82,4.27,10.08375,6.51541666666667,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,3,6,6,6,1,6,6,6,6,6,6,6,6,3.5,4.66666666666667,6,3,3,2,3,3,High,High,Moderate,High,High
740,Firefox,Macintosh,2160x1350,2,754,2,4,2.22,3.69,2.81,3.2,2.09,1.53,1.13,1.3,1.49,1.1,1.93,1.76,.92,1.21,3.22,3.86,.96,1.39,1.64,6.64,1.48,4.6,6.66,2.92,6.3,1.81,5.52,3.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,2,4,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,4,3,4,2,1,2,1,4,4,5,1,2,3,4,2,1,2,5,6,3,6,3,3,5,4,6,5,6,3,1.5,1.5,1.5,2,1.75,1.25,1.25,1.71875,18,1,Male,1,South Asian,1,1, , , ,0,2,1,2,1,1,2,2,1,1,1,3.2,2.09,1.53,1.13,1.3,1.49,1.1,1.93,1.76,.92,1.21,3.22,3.86,.96,1.39,1.64,6.64,1.48,4.6,6.66,2.92,6.3,1.81,5.52,3.74,2.71666666666667,2.71666666666667,6,6,6,6,1,1,4,5,5,5,5,2,4,6,4,6,2,4,6,4,5,6,1,4,6,6,6,6,6,6,4.33333333333333,4.33333333333333,4.33333333333333,4.33333333333333,6,2,2,3,2,3,Moderate,Moderate,High,Moderate,High
458,Chrome,Windows NT 10.0,1080x1920,1,67,2,2,2.07,1.85,1.3,5.44,1.17,2.98,1.16,.89,.92,1,.99,.85,1.01,.92,1.04,1.12,1.04,.87,1.18,1.36,.84,1.14,2.09,1.21,.97,1,.95,1.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,5,5,3,4,4,5,4,5,5,4,4,2,5,2,3,1,1,1,1,1,1,3,1,3,1,1,1,3,2,2,1,2,1,1,2,2,3,1,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,6,3,2,1,1,3,4,2,1,3,4,3,4,5,5,5,6,6,4,5,6,2.5,2,1,3.75,5,1.75,2,1,2.375,44,3,male,1,white,12,2,none, , ,0,2,3,2,1,2,1,3,2,3,1,5.44,1.17,2.98,1.16,.89,.92,1,.99,.85,1.01,.92,1.04,1.12,1.04,.87,1.18,1.36,.84,1.14,2.09,1.21,.97,1,.95,1.01,1.15458333333333,1.15458333333333,6,6,6,6,6,1,6,6,6,6,6,1,1,4,6,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,5.16666666666667,5.16666666666667,4,4.33333333333333,6,2,2,2,2,3,Moderate,Moderate,Moderate,Moderate,High
2526,Edge,Windows NT 10.0,1371x771,2,673,2,4,7.05,11.77,6.49,11.66,7.2,4.04,2.96,3.06,3.22,7.81,3.71,2.95,4.66,5.91,2.56,10.39,5.44,7.25,4.96,4.75,5.39,5.31,2.71,7.73,5.14,15.15,54.8,4.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,5,4,4,5,4,3,4,3,2,5,3,5,5,3,3,2,2,3,1,3,2,5,3,5,4,5,2,2,1,2,3,3,3,4,5,3,5,5,3,3,2,2,2,3,3,2,5,3,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,2,5,3,5,3,5,1,1,2,1,2,1,2,3,3,2,4,3,4,5,5,4,4,3,6,5,5,6,6,6,2.25,1.25,1.25,1.66666666666667,1.5,1,1,1,1.35483870967742,22,2,female,2,"white, American",12,2,"Most of the study I answered the way I did because for me, if I'm in a situation where I get to save someone and a criminal is hurt, I would rather do it with an object than by my hands. I think I would feel less guilt/be more opt to help save that person.", , ,0,1,2,1,1,1,1,1,1,1,1,11.66,7.2,4.04,2.96,3.06,3.22,7.81,3.71,2.95,4.66,5.91,2.56,10.39,5.44,7.25,4.96,4.75,5.39,5.31,2.71,7.73,5.14,15.15,33.48,4.69,7.57458333333333,6.68625,3,6,6,6,4, ,5,6,6,4,5,1,1,2,1,5,6,5,1,1,5,4,4,6,6,6,6,6,6,6,5,4.5,3.33333333333333,3.5,6,2,2,2,2,3,Moderate,Moderate,Moderate,Moderate,High
2299,Chrome,Windows NT 6.1,1280x720,1,160,2,2,9.88,63.34,72.45,25.84,14.05,14,15.58,12.43,4.8,5.32,4.96,6.99,3.13,2.97,12.77,6.97,10.51,8.47,13.53,20,13.61,31.68,16.99,8.5,48.25,16.99,38,6.7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,3,2,2,3,2,3,4,3,4,4,4,4,2,4,4,4,3,3,4,3,3,3,3,2,2,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,2,2,3,2,3,3, ,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,5,4,4,4,4,3,4,4,3,3,3,3,5,3,3,3,5,1,2,3,1,3,2,1,3,2,1,5,2,3,4,6,4,6,5,4,4,5,5,6,6,2.5,2.5,1.5,2,2.25,1,1.75,1.5,1.875,25,2,female,2,black and white,9,1, , , ,0,2,2,1,2,2,2,2,2,2,1,25.84,14.05,14,15.58,12.43,4.8,5.32,4.96,6.99,3.13,2.97,12.77,6.97,10.51,8.47,13.53,20,13.61,31.68,16.99,8.5,33.48,16.99,33.48,6.7,14.05,13.24625,5,5,6,6,6,2,5,5,5,6,6,5,3,4,3,1,4,2,5,3,5,6,3,6,6,6,6,6,6,5,5,5.33333333333333,2.83333333333333,4.66666666666667,5.83333333333333,2,3,2,3,3,Moderate,High,Moderate,High,High
1785,Chrome,Windows NT 10.0,1600x900,1,163,1,1,1201.34,3.42,2.96,4.54,1.42,2,2.5,1.54,1.35,1.47,1.49,2.02,1.8,1.32,2.2,2.55,8.1,2.76,1.98,1.89,1.18,3.04,3.2,1.26,2.3,1.61,1.85,1.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,3,3,7,5,5,5,5,5,3,5,5,5,5,5,5,3,3,5,5,5,1,3,5,3,5,3,5,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,1,5,3,1,3,1,3,1,7,5,5,5,5,5,2,5,5,5,5,5,5,2,3,5,3,5,2,2,5,5,5,1,5,1,1,2,4,3,2,2,4,1,2,1,3,5,3,4,3,5,6,4,5,5,6,6,6,1.5,1,1,1,1,1,1.5,1,1.125,44,3,Female,2,White,12,2, , , ,0,1,1,1,1,1,1,1,1,1,1,4.54,1.42,2,2.5,1.54,1.35,1.47,1.49,2.02,1.8,1.32,2.2,2.55,8.1,2.76,1.98,1.89,1.18,3.04,3.2,1.26,2.3,1.61,1.85,1.84,2.19458333333333,2.19458333333333,6,6,6,6,6,6,4,6,4,4,5,5,6,6,6,6,6,5,6,6,6,6,5,6,6,6,4,6,6,6,6,4.66666666666667,5.83333333333333,5.83333333333333,5.66666666666667,3,2,3,3,3,High,Moderate,High,High,High
542,Chrome,Windows NT 10.0,1366x768,1,90,1,1,2.56,2.95,2.2,2.06,90.51,.68,3.63,.78,.89,.91,1.32,.69,1.59,.68,2.09,1.43,2.52,1.65,1.19,.64,.76,2.12,2.46,.65,.75,.68,.84,.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,3,2,3,2,3,1,2,5,4,2,3,4,5,5,6,6,6,4,5,6,1.75,1,1,1.5,1,1,1.5,1,1.21875,32,3,male,1,hispanic,4,1,None, , ,0,1,1,1,1,1,1,1,1,1,1,2.06,33.48,.68,3.63,.78,.89,.91,1.32,.69,1.59,.68,2.09,1.43,2.52,1.65,1.19,.64,.76,2.12,2.46,.65,.75,.68,.84,.77,5.00958333333333,2.63333333333333,5,5,5,6,4,1,5,5,5,6,6,1,5,5,5,6,6,6,5,5,5,6,6,6,6,5,6,5,6,6,4.33333333333333,4.66666666666667,5.5,5.5,5.66666666666667,2,2,3,3,3,Moderate,Moderate,High,High,High
2162,Chrome,Macintosh,1440x900,1,280,2,2,3.12,27.08,2.87,6.47,10.84,1.15,1.89,8.21,24.7,6.94,3.61,3.79,3.43,9.56,12.57,8.02,2.6,31.98,4.64,5.34,3.43,6.83,33.9,2.06,8.28,20.44,1.85,15.84,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,5,5,4,5,5,5,1,5,4,5,5,5,5,5,3,1,3,4,4,5,3,2,5,2,3,1,1,4,1,1,1,2,1,1,1,1,1,1,1,4,3,3,1,2,1,3,3,1,3,1,5,5,4,5,5,5,3,5,3,5,5,5,5,5,2,1,2, ,3,5,2,3,5,1,1,2,2,3,3,4,1,5,4,3,4,2,1,2,5,1,6,3,5,4,6,6,6,5,2,1,1,1,1,1,1,1.25,1.15625,33,3,female,2,white,12,2, , , ,0,1,1,1,1,1,1,1,1,1,1,6.47,10.84,1.15,1.89,8.21,24.7,6.94,3.61,3.79,3.43,9.56,12.57,8.02,2.6,31.98,4.64,5.34,3.43,6.83,33.48,2.06,8.28,20.44,1.85,15.84,9.6625,9.645,5,5,5,6,4,6,5,5,5,5,6,1,5,5,5,6,3,5,5,5,5,6,6,6,5,5,6,6,6,6,5.16666666666667,4.5,4.83333333333333,5.5,5.66666666666667,2,2,3,3,3,Moderate,Moderate,High,High,High
723,Chrome,Windows NT 6.1,1366x768,1,186,1,1,5.91,11.77,2.86,5.96,1.09,1.21,1.38,1.19,1.13,3,4.04,.84,3.43,1,7.92,1.36,.88,1.21,.84,9.55,1.52,1.03,.92,6.53,.92,1.02,1.14,2.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,4,5,4,5,5,5,4,5,5,3,1,5,5,1,3,3,1,4,1,3,1,2,1,1,1,4,1,3,3,1,1,3,3,1,3,5,3,3,3,1,4,3,3,4,3,3,3,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,1,1,3,1,2,2,1,4,3,3,2,2,5,4,6,3,5,4,4,5,5,6,6,6,1.75,1.25,1,1.25,1.25,1,1,1,1.1875,28,2,female,2,white,12,2,no comments, , ,0,1,1,1,1,1,1,1,1,1,1,5.96,1.09,1.21,1.38,1.19,1.13,3,4.04,.84,3.43,1,7.92,1.36,.88,1.21,.84,9.55,1.52,1.03,.92,6.53,.92,1.02,1.14,2.09,2.30166666666667,2.30166666666667,5,5,6,6,6,2,6,6,6,6,6,1,3,4,4,4,2,3,5,3,6,5,6,5,5,6,6,6,6,5,5,5.16666666666667,3.33333333333333,5,5.66666666666667,2,2,2,3,3,Moderate,Moderate,Moderate,High,High
